,ESCs,PGCLC_d6,IVD_D3,IVD_D5,IVD_D7,IVD_D9,IVD_D10,IVD_D11,PGC_E14.5,PGC_E16.5,PGC_E18.5,P1_oocyte_small,P3_oocyte_small,P4_oocyte_small,P6_oocyte_small,IVD_D13,IVD_D15,IVD_D17,IVD_D20,IVD_D23,2nd.fol_vivo,Incomp.GV_vivo,Comp.GV_vivo,MII_vivo,MII_vitro,2-cell,moduleColors
Lypla1,66.72140097,117.6590653,93.42846276,51.27515066,28.89275193,43.82573718,46.12426289,51.24427252,29.95698816,29.52462226,36.02284725,54.092201,57.79271905,50.32413573,48.99409409,42.25043857,42.19771408,42.60466654,44.85315953,35.919828,46.16824373,31.62647609,17.72867878,23.21487181,29.13122667,38.65843052,lightcyan
Tcea1,16.59642461,23.73245364,23.21623982,16.9208096,12.51748289,13.20561708,12.64694312,11.23316488,13.9766543,5.60175565,5.159709554,5.718397453,4.432027658,7.27209306,4.636644144,7.007185858,9.139070107,10.13851431,11.10446415,13.24962302,8.796395562,8.494938028,8.066748164,25.38698097,41.21478057,56.25579612,saddlebrown
Atp6v1h,67.2417749,61.52300188,84.88782539,107.9881798,143.4064843,102.7880485,96.0725978,105.9947495,176.7649448,207.9424952,163.4033642,120.6708979,140.9043476,120.5203365,125.5830811,75.39422048,62.04012487,54.36800981,50.72165747,47.27048859,53.67197238,49.42875571,38.26229023,50.78660906,39.65842589,39.14364658,red
Rb1cc1,4.418591118,9.807549122,11.68948467,15.85727608,23.10458801,19.2272244,15.96381607,15.58923998,18.9569139,34.37057805,19.51401833,15.51967398,16.08320112,16.5379845,16.66854447,8.946279501,9.29903375,10.99239863,13.12824852,10.319882,12.36875766,15.84801067,18.21614508,22.30580532,25.7346551,91.22603335,turquoise
Rrs1,64.00796428,64.31053839,63.45564068,36.2444128,28.99048673,30.59999937,29.27645131,21.86851783,22.7902407,30.06301627,29.41808394,20.84945101,16.73391435,17.21943187,13.77523007,6.027559246,5.680963163,5.841856599,6.457632654,9.45432478,9.001983818,10.07029962,10.1659154,21.44177176,13.05538488,91.11054394,tan
Snhg6,178.5620752,150.7049227,93.68441307,46.8617523,39.83222286,49.35420042,39.07071349,42.39871287,36.76500347,53.6900532,30.77714161,44.58494334,30.87783345,44.63611243,29.20570098,24.36404737,13.04817727,13.52086531,8.524022449,9.171068371,9.633977585,16.575086,20.91634921,2.287226182,5.257703476,40.69682222,pink
Cops5,79.69226563,154.795701,126.6541095,106.4818773,103.3424786,113.1274688,113.4656198,116.708392,113.4808481,88.74949411,105.9387467,126.6456491,133.7896959,137.9430005,130.5149006,154.6073764,136.0156303,121.2667052,94.023457,71.73190917,72.42078628,66.90474825,57.35145142,2.618023151,12.47122757,25.02693674,greenyellow
Arfgef1,12.99008419,23.54396794,47.5259021,65.27184528,66.24643282,54.0827524,52.66082651,54.19366536,81.3444853,64.53179932,76.32294529,59.48060595,59.20610809,60.24845842,67.31244723,47.65466927,56.10117769,58.53969005,60.5426798,58.49204182,58.1254273,54.82663984,55.67049829,55.12609805,65.66435237,52.10096983,red
Prdm14,28.46549838,59.61066943,28.69631648,7.400349491,4.327485259,10.79171654,9.429080767,5.050609413,3.260206808,0.194727076,0,0.07913042,0.069721856,0.009161532,0.16964282,0.016580986,0.03243904,0.040822725,0.009262953,0.012814969,0.015326185,0.00368895,0.047314296,0,0.138615714,2.912106618,lightcyan
Ncoa2,9.341259984,23.4915101,32.38916934,29.10215013,20.84222675,25.28451071,23.91042621,20.55292031,21.36182596,24.59142037,25.78818151,23.97178443,27.5733331,23.51450392,26.96446628,9.351639019,7.865624125,7.780386446,12.18345258,13.56078378,17.21281797,12.35938373,11.40604444,57.29944621,42.72791618,29.90032399,yellow
