Repeats	Samples	CPM
1	ERVK	IVD.D5	26989.6962751538
2	scRNA	IVD.D5	122.895038420061
3	L1	IVD.D5	16472.1340621009
4	B4	IVD.D5	4231.37858533473
5	Simple_repeat	IVD.D5	6204.69738974352
6	B2	IVD.D5	6632.5428109987
7	ERV1	IVD.D5	6770.0145664758
8	Alu	IVD.D5	10883.9259775874
9	ERVL-MaLR	IVD.D5	5094.81864276768
10	ERVL	IVD.D5	2724.82196434747
11	L2	IVD.D5	677.834411907983
12	hAT-Charlie	IVD.D5	1023.74980754978
13	ID	IVD.D5	601.707763108889
14	Satellite	IVD.D5	2910.97381004319
15	MIR	IVD.D5	1237.8261369754
16	Low_complexity	IVD.D5	3456.76433067095
17	TcMar-Tigger	IVD.D5	244.492851434578
18	Other	IVD.D5	119.925074991577
19	hAT-Blackjack	IVD.D5	15.7715299305745
20	ERVK?	IVD.D5	21.1311191061161
21	snRNA	IVD.D5	37.6878117821522
22	RTE-X	IVD.D5	5.70096428226396
23	hAT-Tip100	IVD.D5	67.1826210029669
24	Gypsy	IVD.D5	46.7001145996233
25	Unknown	IVD.D5	1700.76491920163
26	SINE?	IVD.D5	2.15066317235107
27	srpRNA	IVD.D5	13.5867292475512
28	RTE-BovB	IVD.D5	2.73100085377914
29	CR1	IVD.D5	248.077290055163
30	tRNA	IVD.D5	84.8999890418591
31	Gypsy?	IVD.D5	2.8675508964681
32	LTR?	IVD.D5	5.15476411150813
33	TcMar-Mariner	IVD.D5	14.9522296744408
34	LTR	IVD.D5	1.46791295890629
35	RNA	IVD.D5	17.0687553361196
36	TcMar-Tc2	IVD.D5	15.9080799732635
37	Y-chromosome	IVD.D5	6.38371449570874
38	Helitron	IVD.D5	1.46791295890629
39	PiggyBac	IVD.D5	0.785162745461503
40	Deu	IVD.D5	52.9814165633154
41	ERVL?	IVD.D5	5.22303913285261
42	MULE-MuDR	IVD.D5	5.59855175024724
43	hAT	IVD.D5	8.53437766805982
44	TcMar?	IVD.D5	0.443787638739111
45	rRNA	IVD.D5	6811.49164194257
46	DNA	IVD.D5	3.78926368461856
47	ERV1?	IVD.D5	0.716887724117025
48	DNA?	IVD.D5	9.18299037083236
49	Helitron?	IVD.D5	0
50	hAT?	IVD.D5	7.88576496528727
51	hAT-Tip100?	IVD.D5	0.341375106722393
52	PiggyBac?	IVD.D5	2.11652566167884
53	L1?	IVD.D5	7.06646470915353
54	Penelope?	IVD.D5	0
55	Dong-R4	IVD.D5	0.341375106722393
56	TcMar	IVD.D5	0
57	MuDR	IVD.D5	7.85162745461503
58	TcMar-Pogo	IVD.D5	0
59	centr	IVD.D5	0
60	ERVK	IVD.D10	83067.5047241696
61	scRNA	IVD.D10	119.19098209443
62	L1	IVD.D10	20199.2817130745
63	B4	IVD.D10	3372.59998440702
64	Simple_repeat	IVD.D10	5547.51289085528
65	B2	IVD.D10	6179.19705101879
66	ERV1	IVD.D10	33362.5374610245
67	Alu	IVD.D10	9178.35065482123
68	ERVL-MaLR	IVD.D10	7380.55801571975
69	ERVL	IVD.D10	2002.82917324087
70	L2	IVD.D10	620.438140441192
71	hAT-Charlie	IVD.D10	808.058768726306
72	ID	IVD.D10	522.841759808577
73	Satellite	IVD.D10	1999.63205042704
74	MIR	IVD.D10	998.764340077393
75	Low_complexity	IVD.D10	3290.48440897819
76	TcMar-Tigger	IVD.D10	207.869072772685
77	Other	IVD.D10	87.1636640822322
78	hAT-Blackjack	IVD.D10	11.5545140289188
79	ERVK?	IVD.D10	24.1186457885199
80	snRNA	IVD.D10	21.931140705375
81	RTE-X	IVD.D10	2.55208926366896
82	hAT-Tip100	IVD.D10	60.0722549755925
83	Gypsy	IVD.D10	41.0016978404838
84	Unknown	IVD.D10	1125.5555000889
85	SINE?	IVD.D10	1.71074115476711
86	srpRNA	IVD.D10	10.3766266764562
87	RTE-BovB	IVD.D10	1.68269621780371
