01_d11_WT_rep1	02_d13_WT_rep1	03_d11_KO_Lhx8_rep1	04_d13_KO_Hes6_rep1	05_d13_KO_Tbpl2_rep1	06_d13_KO_Thap7_rep1	07_d13_KO_Ybx3_rep1	08_d13_KO_Ell3_rep1	09_d13_KO_Foxr1_rep1	10_d13_KO_Mef2b_rep1	11_d13_KO_Ccnk_rep1	12_d13_KO_Sfr1_rep1	13_d11_KO_Sub1_rep1	14_d13_KO_Tcf25_rep1	15_d13_KO_Kdm1b_rep1	16_d13_KO_Nobox_rep1	17_d11_KO_Stat3_rep1	18_d13_KO_Noto_rep1	21_d13_KO_Dynll1_rep1	25_d11_WT_rep2	26_d13_WT_rep2	27_d11_KO_Lhx8_rep2	28_d13_KO_Hes6_rep2	29_d13_KO_Tbpl2_rep2	30_d13_KO_Thap7_rep2	31_d13_KO_Ybx3_rep2	32_d13_KO_Ell3_rep2	33_d13_KO_Foxr1_rep2	34_d13_KO_Mef2b_rep2	35_d13_KO_Ccnk_rep2	36_d13_KO_Sfr1_rep2	37_d11_KO_Sub1_rep2	38_d13_KO_Tcf25_rep2	39_d13_KO_Kdm1b_rep2	40_d13_KO_Nobox_rep2	41_d11_KO_Stat3_rep2	42_d13_KO_Noto_rep2	45_d13_KO_Dynll1_rep2
ERVK	13439.2555741531	20901.7620411257	6926.39879732946	18385.4194510895	7426.05682025662	11490.3021065954	20086.9030631163	25462.6683835599	27976.0988290436	22878.8279604792	15659.6621621881	51888.2570544101	8401.67601130553	22228.8585907701	28712.7921845338	11322.5549746944	7522.21976572838	23200.3964067638	7716.52859282752	12526.2134131161	28174.0372328173	11320.4149136744	126064.088174377	12993.6283477894	22902.9025025073	14984.1344552755	28742.0243284472	15283.0928173183	25601.5545370602	18706.0074148847	25711.6858272906	8330.38994444284	29345.2672761557	38171.8217915659	13488.8922471365	9015.82475939573	33478.6163473716	9377.42209844987
scRNA	506.624378486422	303.821632784349	199.244522833877	319.111600217382	134.966182710411	293.706077641274	554.59887489039	799.777974770907	398.578487246653	277.596184243473	192.817197697618	545.478163894628	259.57418804993	448.520593017113	824.520163265811	257.999375438071	172.133445036601	557.110033896298	451.987080134755	377.356469752758	778.72379233161	527.126964921926	1593.60130986647	413.903854560339	565.927449392741	680.666409753264	633.020635406844	400.299194195466	291.50631517989	350.510729306925	472.245673816621	397.84920309599	457.497574194035	1375.19331729926	249.473813968976	348.899268077197	862.907782722656	717.385385100653
L1	13178.7356704929	6017.92633668983	8024.29612266534	6377.58072572803	8513.70197077308	3299.37745235577	14093.8161217646	13834.3655691339	11237.0912814278	9893.82222158044	11912.2331477322	20866.9849473974	17129.2048541727	14219.8436123558	19433.568635293	11945.6102821726	13122.2938602651	13483.619528323	13208.2909771883	13491.4692296356	20230.9860038985	18852.7561975937	43121.1759032147	18086.0158338138	10735.7382084701	15547.8343850663	13121.7796674799	12756.2263956885	13040.7655416892	11653.0902662636	11495.4844733209	13949.5318948524	27112.6691011135	19923.3154149449	14578.2653744394	16894.9195979963	16292.6182525953	13443.3403583857
B4	4081.66459667985	2148.96182799762	2688.18447815086	2849.37232002049	2521.6470623819	1949.98596195594	5030.56165860085	4537.01391405291	5026.17645528945	4399.19029362764	3681.14745337528	8012.58549905612	6714.66449083202	4075.46153594447	5723.96648722105	5733.8462733748	6121.5998538686	5052.67898539526	5096.51788888067	3992.44903264961	4236.90798588178	11464.6772592525	11687.9939500943	6498.12774198552	3921.2151964919	5238.4957177712	3399.70453966167	4843.3264748818	3684.7645299134	3956.40333500131	4608.28030091777	5738.80790921469	8559.83409472828	3597.39852857481	5430.59809809634	7548.78996034974	3953.97421203845	5684.58350767155
Simple_repeat	10653.368276401	5074.84167116488	4068.23477817803	5869.88263693274	4926.69113467166	5012.15746324448	10146.922813152	9648.21039623447	7143.36090945082	6331.81859189207	13167.816853425	14527.3132299968	10795.7184690139	9044.90253684899	11723.6023003726	7633.51734248951	9542.79476594864	9126.82841640496	8393.03105930333	10332.6122529484	9836.48057122654	19101.8012363753	14690.2563780936	9404.27648022539	9402.4207119074	6824.28974697273	8238.49182759983	8510.15167492792	9074.03936652257	7448.28494973894	9193.42676513926	7633.66528406176	18622.617328562	7808.94700744252	8645.38688521046	9197.78448876739	10493.6391132478	5476.51719536242
B2	7254.06858639579	5360.96386104101	4241.8921469217	4995.41557124123	3662.04363001675	5664.07527096295	8364.71669836271	8786.76078956532	6961.7148972029	5169.51163175741	9366.08582841195	5576.2862672387	7842.03367749708	8129.30706926468	8104.5275449836	6465.06482785337	7933.38715930158	9634.05193163389	7012.74950728297	8004.73906159091	9474.50828184786	20066.086224718	13913.7845746557	9650.25913848787	8497.01029836156	9678.95291338782	4717.07251896828	6867.15905105896	6782.15501535877	5743.48193126445	7144.73451657109	10244.9230455225	13353.7984159324	8314.30894471121	7016.3133562282	12655.2705356112	10385.2550138153	9123.31242996174
ERV1	1308.57930304686	1355.33398738907	1359.27161458034	1217.67806091799	1144.57611568779	1170.14652862096	3064.36571865189	2883.87351280034	3078.63787995763	2023.0839352219	3574.23548761873	2495.86997729486	2663.43603132193	2416.64373742256	2879.54428371251	1050.32349033662	2429.26074987517	2725.3484138362	1648.26997552174	2467.86206414899	3904.55231680203	4585.62357987323	5030.03390935098	2772.90485305481	2913.43089251497	2447.87324653954	2501.80729947711	2971.36354925209	3121.16041268427	2305.58428559541	3869.71979092154	2655.34813496613	4633.75768196655	2615.80121285711	2113.03412120396	3375.33555699539	2674.80670671918	2250.46615278107
Alu	5414.88143921906	4468.87664767518	5134.79171319798	4803.81274374506	2706.25825400783	4551.43960177121	11264.2998148294	7980.97495331526	8099.6498515659	8321.6324919417	11861.0363341383	9028.07064304183	12448.8328357321	11668.0241076504	9930.08396319635	9957.27326215193	12108.2328636545	11087.2443991129	12272.8604103909	13485.3465574658	10748.5733326906	23164.8306393493	16661.1674787942	10809.3490496599	10040.2000894657	9569.10661352976	8100.06223195243	9648.32581523839	8667.5247094861	7369.26565449751	8188.21465137028	22721.8411902235	14481.8987140302	10122.6194094951	11622.6575460942	16059.8880780307	8748.47098074506	14072.5406860473
ERVL-MaLR	5848.47833048737	17830.4968154653	4227.59152775033	27165.6172499476	4816.12317925591	15203.6605002143	27815.5593643693	50355.8271291254	56110.8604220991	39816.1207642703	33862.6842559837	50029.1967299536	6511.2550170221	43911.3883975253	34715.7694150701	6521.15743078964	7010.4223012132	30650.4087830504	4776.91733565553	9583.76143476005	73992.2851059479	11339.8783555118	109872.049488678	11987.0242587109	31981.7338055142	18910.9971746405	43899.1273683714	40740.5674914941	44962.4525901849	21069.2484796213	44957.4434933368	12771.1144069872	33150.8671540955	28322.5127786505	7189.96299126284	5994.46785404716	26232.8184086619	6559.70995383783
ERVL	845.423268701083	804.722312773109	1046.00332587832	915.582807303658	835.254942873612	894.232719650723	1830.60731777723	1516.83133578355	1481.73060724957	2573.07844503057	2138.87871232682	2060.20918202296	1895.7519174861	2000.7489149993	1644.70854302121	1854.83170727652	1848.03005481834	1778.56740675361	1539.18155173259	1338.68889272408	3823.14696002801	1815.35775532525	2995.70924198306	1997.98855697463	1202.12688904132	1494.28679105469	1555.85022361442	1890.5261076424	1592.25335119435	1521.42520904315	1595.64337898046	3760.67307262136	1662.18694628876	1570.29894841155	1663.4027467236	2348.41080244926	875.505097056286	1875.30538996813
