01_d11_WT_rep1	02_d13_WT_rep1	03_d11_KO_Lhx8_rep1	04_d13_KO_Hes6_rep1	05_d13_KO_Tbpl2_rep1	06_d13_KO_Thap7_rep1	07_d13_KO_Ybx3_rep1	08_d13_KO_Ell3_rep1	09_d13_KO_Foxr1_rep1	10_d13_KO_Mef2b_rep1	11_d13_KO_Ccnk_rep1	12_d13_KO_Sfr1_rep1	13_d11_KO_Sub1_rep1	14_d13_KO_Tcf25_rep1	15_d13_KO_Kdm1b_rep1	16_d13_KO_Nobox_rep1	17_d11_KO_Stat3_rep1	18_d13_KO_Noto_rep1	21_d13_KO_Dynll1_rep1	25_d11_WT_rep2	26_d13_WT_rep2	27_d11_KO_Lhx8_rep2	28_d13_KO_Hes6_rep2	29_d13_KO_Tbpl2_rep2	30_d13_KO_Thap7_rep2	31_d13_KO_Ybx3_rep2	32_d13_KO_Ell3_rep2	33_d13_KO_Foxr1_rep2	34_d13_KO_Mef2b_rep2	35_d13_KO_Ccnk_rep2	36_d13_KO_Sfr1_rep2	37_d11_KO_Sub1_rep2	38_d13_KO_Tcf25_rep2	39_d13_KO_Kdm1b_rep2	40_d13_KO_Nobox_rep2	41_d11_KO_Stat3_rep2	42_d13_KO_Noto_rep2	45_d13_KO_Dynll1_rep2
RLTR17B_Mm	104.46212263126	40.5536024258957	51.2740853049956	53.1666561926656	46.6855516860103	59.6678121814958	94.6702906149945	88.0813839937696	99.1317503736516	129.315967911841	65.1457228713427	98.2475680622596	136.971724428562	82.7441349513237	133.802868111937	122.327454096308	107.168545502491	103.293549806248	178.480998095696	84.0187455387788	103.789893880815	139.714293281537	136.610070705372	139.811749774858	73.0425087603015	86.2213157807758	80.577061236659	190.528058471873	77.4677789930572	87.9806366278866	132.07428004825	87.6790170926301	115.393491807062	102.829453811217	112.290887196736	108.062278322765	179.566318850307	111.080476388367
BC1_Mm	489.513962183305	385.202186727709	187.55956510959	348.34497745822	139.552690339331	274.330550054167	577.692090231897	654.072122892934	417.841354522853	517.882698008342	244.074413738209	228.793582080122	329.876329924196	386.91344131008	758.297428415956	221.745377673091	281.895731790516	584.169096049601	835.512217589653	476.958975221123	746.467677567117	482.017866445117	843.448627320469	332.212217284623	550.405258743682	420.192697440051	649.01858631777	854.907738350189	360.957506841238	285.810181640289	456.320853115941	248.777921939852	358.861327597563	739.905198993931	177.585307970587	343.420091128517	1353.00477581258	819.504088805923
Lx2	242.674299528001	115.10078887873	136.621650457484	146.982419210778	134.022963725488	120.92921648226	298.207487308642	237.467802873682	222.363843988216	423.721784096892	157.352977201302	238.514924007678	342.670588846755	394.741100580062	273.508839725683	218.851934041156	240.012286219584	262.44682758498	384.853170969135	173.676002614055	292.953272591389	352.539911959229	487.385310263161	332.507390164457	244.418896443942	236.24748943228	240.5516321216	554.761114641627	202.938915040851	199.742093268017	290.920729019982	314.658817633653	406.193921576375	272.988159746932	171.207379417129	280.956998964451	576.680856405509	216.298607549624
L1_Mus1	712.325271491598	453.953359719523	680.424562834318	402.365861082826	786.421182247291	452.833558473811	1104.47168339413	459.309856664038	804.659147087872	1059.28620909721	645.560986089788	683.550915307424	1158.92918938392	823.821756557391	810.879878752156	875.716592989496	648.047586892167	1033.29239582936	1857.98412137894	787.527835632692	891.323090082616	1350.4429361938	1744.2038491498	1254.7585376175	920.805590081375	424.999044370395	929.056888882145	1368.72888263637	776.502965430336	700.459271599474	686.831589566465	1445.22000004856	665.181916041705	826.57197182057	426.369781105355	1505.61414920107	1704.02168754875	1481.66174462972
B4	578.098341942188	292.827328015908	362.583069314582	316.627190501776	385.969331792755	368.485702354336	694.363009915667	485.748158065995	629.058115311028	852.239910759136	462.488527255473	641.704418128429	845.140606423062	750.347158856259	814.821494916623	759.905372828906	718.031979769776	719.289458414753	1152.39722422031	586.828484781196	661.777490147593	861.107592859971	1205.15847825515	894.230713012216	487.665391663034	563.627281194693	582.121770283406	1155.56344060703	552.443891415229	570.10543041496	658.037116708715	865.049909254668	804.084773326724	532.758984926431	672.83852659918	982.237910735836	1215.72155195473	796.571641316642
(CA)n	598.480068289214	282.406107724574	270.570969852856	290.74249662535	310.444469925885	317.712470214456	620.106130420265	536.037142750065	578.413831367707	788.135951136413	457.30737265247	573.433701183126	650.041069470325	586.331917813435	709.613736244161	649.436197697178	662.417220707739	602.901891027122	975.920999134318	576.259998760235	628.839565612793	654.923980881979	943.357953496323	690.452788172426	474.285385354668	560.98560738361	486.616915669464	1112.2113179054	571.675394892246	507.647408165172	641.781973596898	615.553725634253	655.424179978785	522.000266700229	646.776662463733	680.016629497576	1038.68750832814	709.817470722912
L1Md_T	172.485880558045	174.716845804059	646.55368945361	113.778941767131	438.260601360365	234.049420731754	727.157286575099	263.184761547792	322.957072215286	203.452918756931	397.657837437935	267.242591599806	1458.26486255312	234.794851322316	479.603241462379	357.339627529719	745.245964028367	551.530596333201	477.952474056163	495.33086930912	295.439699704398	1365.89101345244	422.82726179782	1619.46136399205	193.279508997779	705.329103761395	340.117717323898	225.960158999292	328.039011037588	345.684546592901	256.231550448412	1374.72327646446	401.351615054962	225.488427847576	454.773576455885	1111.28889922533	337.60860363541	963.028537595123
(TAGG)n	1.85520563228062	0.576061595110549	0.57995391048278	0.550186843452036	0.960086666150547	0.724545315767159	1.28852844151875	0.45785649150819	1.17590639729741	0.798769091676378	0.701292376656321	2.43580642402768	5.20176651991016	0.960086666150547	3.51125806871777	3.52649889257762	1.80449323123816	2.35181279459481	1.00490305081867	4.63353891719355	2.11683177326215	1.37546710863009	0.785525454123175	1.05895084612123	1.45807165750806	0.242394613151394	0.864637056836329	0.85030258146195	1.00184625236617	1.33389399411039	1.37546710863009	2.58932464507269	5.51769125084221	1.45807165750806	0.807982043837982	2.42098375914172	1.26257049974653	2.75507719400698
Lx5	259.874859365305	242.022850661981	397.378226517472	256.058109768233	320.448946610057	629.324170641716	505.742148945804	566.088721404161	524.259725464911	443.215016945952	447.873807882634	492.472157135499	583.829107305666	381.809224448535	1082.99095714828	513.718453345682	485.550164088885	757.278289341253	549.875080071379	508.242505800245	667.774926540018	761.916977403041	869.763132671076	1494.01606022347	473.219570324631	483.878456504838	638.109417083811	526.234231837744	477.770425870884	584.43737418384	452.606466181285	571.612360582007	854.810038786564	405.458024586971	549.937869100227	643.909246575233	707.219028155262	663.562424001345
L1M2	101.164453951773	70.3171643350045	64.9198059980294	36.3457204362645	69.7855390606695	119.669507256179	157.609466426875	140.164802544267	125.498193744405	122.261405227875	80.7437605365057	143.885192439362	80.8734673626523	151.73336327066	302.327958482317	141.937988626144	145.870395807686	126.965732034136	151.809751036108	99.0027758941586	204.152959054896	78.3298321843757	257.208714820479	240.619663222591	116.655825544301	121.797481764768	125.66388355131	184.732347646348	123.223409654105	139.113869995777	72.762097405259	149.10607351753	233.742105334305	163.930007197335	129.691521759361	136.457390972557	180.664325651405	149.713948328733
B3A	660.218727027249	554.447137680383	660.263078037205	399.171237793538	679.820960524991	906.646062337629	1256.62662116487	951.554168920485	994.700101001978	826.273329332747	955.001265905541	924.558530365108	1295.89657732659	952.428239929338	1877.51354705259	1321.81706170967	1652.17984506607	1172.80289565923	1391.75382132349	1349.21257840597	991.863235943107	1308.4294262369	1629.00901884493	2419.78087355171	836.224149070067	1157.38616606136	892.517552665394	1190.54946956079	1091.67299914726	860.051194096253	859.402515478131	1486.56446352113	1638.62252067447	877.336785267842	1383.53271578703	1773.47599352801	1269.72961877199	1912.87274451333
RMER16A3	50.1564301057959	3.68249470753657	41.8542200922361	4.64030523818673	23.8485455877872	11.8330304217858	68.1101927932992	4.86337460307607	9.45889696314719	8.47676167554759	8.20328089321155	7.68040995298706	60.8971822729094	4.18348788523195	28.062522739413	23.0328302110351	56.896253420933	11.3841591768851	19.472177778654	107.510882071251	8.72408935426405	110.766815626834	12.736988593254	112.250090957652	15.5931436947174	52.0590259931423	3.79471972562837	12.2141198583769	8.98169440862578	10.3832719921916	7.56096794692779	39.6232260212733	8.83969466291508	9.03194414711626	19.1135851335947	62.5012660691732	11.4558152995419	29.0108729398613
RMER13B	14.9131146334706	29.0323301858308	13.3358961823619	17.2326961243606	18.0617748745902	13.238017172711	41.8708059823967	42.685622162591	35.9422411618501	35.9533228760416	49.4363603725081	29.1414027688648	27.1664822909516	52.7356810871982	37.3641076413203	42.7510880094489	28.2571019516238	39.3189803792851	34.5660563985094	65.2820433898214	37.200131456062	29.4076413651215	101.318329339892	40.9673549190997	40.1485150599032	37.076197465188	37.2299806939228	40.2307278484324	66.0960339557793	30.6491649103404	41.4614428721435	41.3736101248746	32.7425513502556	44.9709296428849	21.1778280019601	33.7387757403036	40.6353472377126	60.1810358431521
MYSERV6-int	36.9487898791271	169.989477929987	57.4412415771778	92.2446166715029	72.733269221072	73.3836894546556	109.025918413749	199.04018207769	152.601823579288	138.427041137706	200.085975661854	186.056725226667	97.2271726085038	187.626241333483	150.27165621473	76.1904074924475	122.196288938722	149.32571101146	88.997124598622	135.935848088931	219.490647419759	96.0151995427468	433.252336439548	118.011691608962	120.472011847032	118.165609260866	171.908380085877	194.926686763899	337.41518012726	138.143812388089	163.347036529245	96.5280810252078	149.421353633268	119.169611718956	83.6873492826652	112.738285921899	180.961789801709	216.193175373909
RLTR1D2_MM	6.25960802818102	2.57527020723199	6.42055462528853	3.15467398924919	6.82521371089946	3.48942409352541	10.7419562340916	11.0611085796974	6.95838302756909	4.86261396180586	9.28295074699905	5.75380472189318	9.51794801884586	4.8705750425198	11.0498429628305	8.8785556628716	6.73147464993014	5.81596193349058	5.45364991296458	1.67692013494176	4.59316600116795	17.0136691215063	22.2380202599259	5.52492148141523	6.02864890688812	12.1988226050377	6.49102894362788	7.46854520100569	10.1813008192893	6.71688791568646	9.76061524878811	15.4128065490265	2.38443979724236	4.52148668016609	10.365838897545	10.2817898467066	4.59396125673371	30.7834624771452
L1_Mus3	365.842718095972	682.965214023673	490.577863088082	362.396357507576	410.437321676345	434.080021398426	726.194964627523	844.225864861834	372.472977938981	631.139942942942	990.890081684044	765.853287145861	890.254919654305	580.624423340297	902.72246222676	607.561252822882	949.224779385979	457.501049426152	772.157506433982	1085.65808624126	900.460602914941	961.84839128844	1159.14221913566	1153.74149385273	594.315983485569	749.455472826126	381.09307493203	843.419050973938	1211.16165984405	685.187024801398	743.759253351997	704.039659512181	757.945028282686	620.083145868704	732.04014590704	494.765304787906	926.990481211144	1489.91619577135
B1_Mur3	326.579447355242	423.745293089527	304.250685845234	247.728875280117	336.13897122487	300.721868065805	721.132082759217	452.138801436908	394.48395230108	393.574059488685	707.543821885975	481.29841721504	715.416360791284	453.39460135228	610.154908369315	761.173321691845	682.250400807075	459.679832332539	599.155867887119	988.703837026821	531.80168340785	729.361863457229	886.784233211215	747.974466028869	531.095654090469	486.910101949565	406.916538420113	525.218009447814	826.540787753582	460.484429390679	538.320550962059	689.046360638308	536.601430720217	519.54393383203	583.279474649568	653.76353055768	574.962511870251	1310.44419219081
Lx3_Mus	72.8779577459197	165.802738518698	88.1506767671438	90.2077547344756	93.835606156531	77.6449703635621	227.386563445043	188.718644559111	189.979555633998	145.54274413463	210.094753575738	195.710424999367	178.219146744981	192.526221373792	202.873551794016	127.090975882055	181.091756626702	219.813988724222	122.839994591843	192.041197280049	214.680252980089	192.443210100215	362.842171412289	162.629245564419	158.766418163142	155.21385967709	197.922666365247	205.950177483807	305.273476533581	154.256821163059	198.561649116988	164.428553993588	169.887303484697	188.495826655693	124.117565721094	190.334402505153	186.871341013578	273.796680194206
