Geneid	ESC	PGCLCd6	IVD.D3	IVD.D5	IVD.D7	IVD.D9	IVD.D11	IVD.D13	IVD.D15	IVD.D17	IVD.D20	DIOL.D5	DIOL.S.D1	DIOL.S.D3	DIOL.S.D5	DIOL.S.D7
0610005C13Rik	1.72666666666667	0	0.0233333333333333	0.133333333333333	0	0.0933333333333333	0.206666666666667	0	0	0	0	0	2.375	3.84	3.795	0.55
0610007P14Rik	170.653333333333	233.64	254.833333333333	161.846666666667	110.94	141.82	104.673333333333	40.0433333333333	44.2933333333333	49.68	66.0433333333333	52.985	50.295	57.755	43.125	43.76
0610009B22Rik	57.6666666666667	47.8	59.38	57.5466666666667	51.2433333333333	57.77	55.25	55.34	53.2633333333333	76.895	90.58	87.195	51.785	59.455	60.845	60.57
0610009L18Rik	2.89333333333333	3.58	7.31666666666667	20.8233333333333	6.10333333333333	15.3233333333333	12.8066666666667	8.15	5.04666666666667	6.59	8.87666666666667	5.405	2.68	5.905	9.33	3.765
0610009O20Rik	64.52	60.62	49.0466666666667	25.47	37.55	46.8933333333333	41.5066666666667	14.97	17.2733333333333	18.355	19.7866666666667	23.48	41.57	32.935	21.495	25.21
0610010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0.045	0.03	0.015	0.04	0.005
0610010F05Rik	12.2933333333333	13.26	20.3766666666667	27.03	38.08	31.6233333333333	38.3266666666667	20.3	16.5866666666667	13.51	14.06	11.73	14.915	15.305	17.525	20.24
0610010K14Rik	141.98	317.81	309.87	320.343333333333	270.653333333333	276.436666666667	239.566666666667	166.47	141.886666666667	120.3	111.613333333333	177.645	106.775	112.94	100.86	118.225
0610011F06Rik	69.11	42.93	62.57	140.8	120.173333333333	98.6633333333333	86.07	25.9233333333333	19.8833333333333	13.58	11.9866666666667	51.01	44.98	79.65	57.585	34.26
0610012G03Rik	84.2166666666667	27.005	33.7266666666667	30.5133333333333	27.5	50.1466666666667	52.3933333333333	62.3	70.3	84.945	81.7533333333333	194.105	80.38	113.755	93.375	108.645
0610030E20Rik	18.85	30.95	24.7633333333333	17.5166666666667	18.6766666666667	20.9733333333333	15.67	8.12333333333333	5.86333333333333	5.565	8.82333333333333	16.28	16.73	16.135	13.9	13.41
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	55.08	86.465	73.7933333333333	83.3966666666667	110.696666666667	94.5833333333333	90.3333333333333	65.2033333333333	53.21	49.83	44.1066666666667	83.495	37.4	46.895	52.33	48.845
0610038B21Rik	0.06	0.31	0.976666666666667	0.83	0.67	0.663333333333333	0.913333333333333	0.583333333333333	0.876666666666667	0.52	1.63333333333333	1.385	0.795	1.445	1.875	0.63
0610039H22Rik	0.0666666666666667	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0
0610039K10Rik	0.126666666666667	0	0.323333333333333	0.31	0.223333333333333	0.67	0.983333333333333	0.683333333333333	0.06	0.36	0.373333333333333	0.925	0.075	0.645	1.3	0.09
0610040B10Rik	1.30666666666667	3.505	8.52666666666667	31.9066666666667	55.6233333333333	27.7866666666667	23.7666666666667	14.55	15.3133333333333	10.885	8.42	10.005	4.62	9.035	11.9	5.11
0610040F04Rik	1.36	1.465	0.623333333333333	0.46	0.21	0.513333333333333	3.36666666666667	23.2133333333333	27.34	29.45	29.2466666666667	37.045	38.965	24.625	25.27	18.755
0610040J01Rik	0.0933333333333333	0.185	0.48	1.33666666666667	0.326666666666667	0.69	1.36666666666667	3.70333333333333	7.16666666666667	12.615	22.7433333333333	11.195	1.8	39.205	22.25	7.99
0610043K17Rik	1.27333333333333	2.08	1.88333333333333	1.48333333333333	1.07333333333333	1.02333333333333	0.406666666666667	0	0.0933333333333333	0.39	0.24	2.275	4.115	5.25	4.48	0.84
1010001N08Rik	0	0.765	0.16	0.163333333333333	0.61	2.75666666666667	3.12333333333333	0	0	0	0	0	2.535	4.375	1.385	3.19
1110001J03Rik	117.646666666667	61.42	68.25	133.363333333333	88.7733333333333	86.44	63.84	22.12	23.62	29.57	25.3566666666667	114.105	73.16	95.59	92.635	62.39
1110002L01Rik	9.07333333333333	8.785	5.36	5.65333333333333	11.3366666666667	8.04333333333333	8.13666666666667	1.66666666666667	1.87666666666667	1.055	0.746666666666667	9.005	15.485	13.58	8.485	8.615
1110004E09Rik	91.1433333333333	95.335	97.6066666666667	89.7466666666667	93.5	84.6133333333333	89.1966666666667	128.473333333333	134.813333333333	136.625	140.436666666667	102.085	79.595	52.245	50.06	73.955
