Geneid	Repeat_type	ESCs_rep1	ESCs_rep2	ESCs_rep3	IVD.D11_rep1	IVD.D11_rep2	IVD.D13_rep1	IVD.D13_rep2	DIOL.D5_rep1	DIOL.D5_rep2	DIOL.D15_rep1	DIOL.D15_rep2	DIOL.D25_rep1	DIOL.D25_rep2	DIOL.S.D5_rep1	DIOL.S.D5_rep2	DIOL.S.D14_rep1	DIOL.S.D14_rep2
LTR	Class	22235.0235350772	24001.0135296051	23091.7099489882	23083.9842392628	24061.5084906323	76722.7991286969	73401.0203061233	30899.0260095836	30432.687682887	63367.1790890879	63358.125426443	67953.757688571	71388.2323667041	28454.0161702886	24362.2451769039	75631.5319413621	75660.7439552293
scRNA	Class	181.901338255461	176.59985544059	193.253590551775	248.658762157351	230.078378417043	313.415616997047	297.696701772039	438.069370597978	476.536115323091	147.140982485186	197.673725258605	101.765965583969	98.7595491620482	218.574843725748	191.299487407113	232.062874984169	241.989778370341
LINE	Class	12107.8440367875	12733.903710523	12139.7700753623	16673.9251330166	14554.5877902337	12534.876501436	12967.4237678513	10886.0167200284	10717.1745891107	8100.51172245831	8296.24567341194	7416.24849156143	7400.80642111901	12713.1261679097	11439.1513036984	5514.57756201865	5915.86047919085
SINE	Class	22800.9103662799	24736.3430529625	21822.4508865165	31202.7889223594	28712.4940832101	19891.4572392138	19443.6664459417	18310.8856097781	18784.8723654627	12419.8423833787	13372.9443549784	10128.6698052389	10124.622434803	19689.1697662022	18084.5037347798	11956.8210009718	12470.911489413
Simple_repeat	Class	11190.8058405783	11584.7683210312	11006.4423346477	10610.4061477515	10281.7791483928	8156.75479079426	7992.01872810392	7565.44232369814	7858.2067410966	4916.26864070935	5155.75496995179	4416.10541004715	4179.63504097769	6064.70336940414	5777.01074482108	4378.03948098498	4517.80053121633
DNA	Class	1499.7126037	1687.2508959482	1532.75904077714	2598.42417697418	2340.591884248	1578.44124488333	1609.2829433184	1306.14066738755	1294.98378284144	1053.13241111382	1068.94311225663	916.216188033978	929.270842269738	1642.57111626646	1499.74122629702	698.609200028047	730.730170482031
Satellite	Class	6507.19331476137	5189.30281188094	5117.09410736614	1895.09341137844	1719.64772319438	1889.34385536446	2072.18461128661	1541.16745487264	1582.14967165755	1403.35472938493	1364.92563142167	1373.42845488914	1526.25991610521	1601.52192997241	1544.61091980534	1070.83118019276	1076.87773733519
Low_complexity	Class	7538.6591878688	7258.33214255317	7015.23941612452	7507.61721146482	7002.49360426892	5473.57402927953	5585.57927677981	4332.93157936145	4444.81462940634	4141.49899828085	4261.69061641682	3685.46877685802	3641.27555540557	4365.72584185361	4244.40906651355	3933.08312395359	4154.08045006693
Other	Class	272.090772984893	283.913223750325	252.552489304877	264.00669292342	243.264811567736	251.573804474709	250.927497301395	167.56010638746	175.790458058387	163.995351849732	163.83332126843	173.450055073662	188.289613902612	184.431579361165	164.189143178136	121.419169111838	122.504422351588
snRNA	Class	73.8599463977809	67.1782206178574	61.9804806547572	50.6676698066787	49.1692236114282	24.7476511242221	24.6452276927519	80.8886240038313	91.0057780848275	19.1923020632851	18.9884711596367	17.6119620015918	15.1249700651634	35.5437660146156	34.5760579387647	26.7434504313855	14.6308599206636
Unknown	Class	2919.07119056009	2620.71842955488	2548.49803284542	1292.26234488249	1258.77566456202	1628.61942933719	1887.2823723181	953.707576129903	904.725411038617	1354.76823711841	1292.71223357008	1471.05569898545	1606.17424046832	1146.81767873516	1132.82779139831	1258.77712234851	1278.14882619088
SINE?	Class	1.77845912522931	2.74595206322509	3.45564678048378	1.53200760822833	4.19851055505554	1.66623258121142	2.33215709624507	1.89192280326702	1.70635833909052	1.72156862361694	1.38618039751693	2.23956790457678	2.35819425747171	1.83514009314592	1.26313843069642	1.95207667382376	1.23859131603501
srpRNA	Class	9.47164215936519	8.62827591430443	11.5971505953036	18.3840912987399	13.7151344798481	5.87278696656486	4.79037673823311	26.0942560224186	24.8132941809412	3.44313724723387	4.13653832909815	3.22497778259056	2.78510873511746	10.0208307717836	10.4067524439466	3.7870287472181	3.56095003360066
tRNA	Class	561.642781017493	600.348410562259	457.900843588345	959.900257948299	956.140803737981	733.470119191626	795.675273093232	1094.99494321162	1149.30343964159	494.132702845311	643.099692994046	295.372131798822	300.181865567477	1172.05085501592	1262.2146428889	423.717762820185	453.943717326832
