Status	01_d11_WT_rep1	02_d13_WT_rep1	03_d11_KO_Lhx_rep1	04_d13_KO_Hes6_rep1	05_d13_KO_Tbpl2_rep1	06_d13_KO_Thap7_rep1	07_d13_KO_Ybx3_rep1	08_d13_KO_Ell3_rep1	09_d13_KO_Foxr1_rep1	10_d13_KO_Mef2b_rep1	11_d13_KO_Ccnk_rep1	12_d13_KO_Sfr1_rep1	13_d11_KO_Sub1_rep1	14_d13_KOTcf25_rep1	15_d13_KO_Kdm1b_rep1	16_d13_KO_Nobox_rep1	17_d11_KO_Stat3_rep1	18_d13_KO_Noto_rep1	19_d13_sh_Drap1_rep1	20_d13_sh_Polr2j_rep1	21_d13_KO_Dynll1_rep1	22_d13_sh_Birc5_rep1	23_d13_sh_Uhrf1_rep1	24_d13_sh_Dnmt1_rep1	25_d11_WT_rep2	26_d13_WT_rep2	27_d11_KO_Lhx8_rep2	28_d13_KO_Hes6_rep2	29_d13_KO_Tbpl2_rep2	30_d13_KO_Thap7_rep2	31_d13_KO_Ybx3_rep2	32_d13_KO_Ell3_rep2	33_d13_KO_Foxr1_rep2	34_d13_KO_Mef2b_rep2	35_d13_KO_Ccnk_rep2	36_d13_KO_Sfr1_rep2	37_d11_KO_Sub1_rep2	38_d13_KO_Tcf25_rep2	39_d13_KO_Kdm1b_rep2	40_d13_KO_Nobox_rep2	41_d11_KO_Stat3_rep2	42_d13_KO_Noto_rep2	43_d13_sh_Drap1_rep2	44_d13_sh_Polr2j_rep2	45_d13_KO_Dynll1_rep2	46_d13_sh_Birc5_rep2	47_d13_sh_Uhrf1_rep2	48_d13_sh_Dnmt1_rep2	49_d13_sh_Dmap1_rep1	50_d13_sh_Sp110_rep1	51_d13_sh_Kat8_rep1	52_d13_sh_Dmap_rep2	53_d13_sh_Sp110_rep2	54_d13_sh_Kat8_rep2
Assigned	1698233	2172222	1559119	2763157	1719265	2271942	4041728	4716470	4529296	3820088	2855720	4606985	3140282	5108430	4583835	3017173	3116741	4284568	2053454	2874559	2680619	3728426	3758883	3917674	3078448	4895038	3531994	9297212	3685957	3879180	3539315	4596375	4873658	4618548	3302879	4861515	3025606	5255837	3917253	2981863	3385329	4279621	3222440	3005835	3503687	3138406	4104541	4444236	2352483	4316501	2897017	3620615	3383164	2672214
Unassigned_Unmapped	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MappingQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MultiMapping	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Secondary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Nonjunction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NoFeatures	16729499	15770065	15138158	18319908	17230798	19108887	34257059	34093244	29860333	27890655	26646624	32317493	31460136	29263467	32638943	30858040	29288850	33243926	23470062	26039307	28527195	38519194	28683056	31921600	31866507	35091378	34982701	61467653	36209202	32756341	29479314	32533163	32214168	33764840	29826081	33383534	30311146	29229662	27725145	30551817	32362543	33088176	35245166	26485171	36991257	31510528	30823893	31982030	23775507	35609785	33595405	36469170	24837741	30729056
Unassigned_Overlapping_Length	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Ambiguity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
