A_count	T_count	G_count	C_count	Geneid	d11_KO_Lhx8	d11_KO_Stat3	d11_KO_Sub1	d13_KO_Ccnk	d13_KO_Dynll1	d13_KO_Ell3	d13_KO_Foxr1	d13_KO_Hes6	d13_KO_Kdm1b	d13_KO_Mef2b	d13_KO_Nobox	d13_KO_Noto	d13_KO_Sfr1	d13_KO_Tbpl2	d13_KO_Tcf25	d13_KO_Thap7	d13_KO_Ybx3	d11_WT	d13_WT
30	25	29	16	Oog3	0	0	0	7.405	0	17.625	26.345	40.125	9.155	24.21	0	11.715	18.46	1.99	15.575	8.585	1.86	0	11.135
19	20	27	34	Mdn1	67.325	108.96	99.855	39.635	143.125	27.455	34.63	25.995	28.46	34.53	68.22	30.825	33.52	57.365	39.87	30.65	38.115	46.685	40.48
12	8	43	37	Dnajc3	81.62	92.565	58.77	42.145	43.86	39.43	42.575	40.735	46.745	38.645	45.46	36.795	40.04	72.535	42.365	36.585	53.64	48.27	37.55
6	20	51	23	Rnaset2a	81.07	46.5	68.97	89.535	31.155	100.785	78.42	105.225	110.06	98.865	43.68	89.465	106.305	86.47	92.315	110.3	99.245	114.195	91.745
30	24	26	20	7420461P10Rik	0	0	0.345	59.815	1.185	102.985	88.965	114.975	100.03	93.995	1.665	84.465	83.965	47.13	73.19	88.16	52.515	29.105	94.305
28	11	30	31	Ccdc152	54.065	50.49	47.945	15.445	70.725	9.85	7.345	6.455	9.435	7.97	34.685	14.77	4.55	48.58	10.855	15.43	13.73	30.425	12.16
21	32	36	11	Cphx2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	20	31	25	Snhg12	66.14	60.34	64.16	16.96	94.995	11.915	14.27	11.76	25.89	11.155	41.81	22	7.74	56.815	20.475	18.63	42.14	59.165	17.98
16	21	40	23	Rbakdn	22.36	7.745	37.82	45.68	8.93	51.76	42.885	57.14	45.735	49.105	60.555	75.65	44.615	56.215	43.435	73.385	57.135	168.235	65.29
22	33	24	21	AU016765	1.71	1.13	3.95	28.39	0.11	21.925	20.675	29.225	17.665	24.76	0	19.07	20.49	2.62	23.515	15.405	14.465	5.17	22.42
23	21	25	31	R3hdml	2.665	1.53	9.925	74.73	2.285	116.39	92.09	103.63	95.615	110.53	276.975	110.08	95.715	43.18	79.38	107.205	72.545	38.125	106.3
24	27	28	21	Kti12	52.315	34.23	34.745	31.83	65.455	32.12	33.34	33.055	31.105	32.59	31.66	35.77	37.09	39.98	32.295	45.225	37.67	40.44	30.43
19	19	32	30	Rcc1	37.77	60.52	64.96	52.535	144.45	35.875	45.15	35.525	38.705	39.105	69.04	38.685	45.19	53.035	46.245	38.955	42.15	66.215	40.43
21	31	34	14	Tdrd7	81.305	117.34	102.32	57.485	109.435	36.135	43.015	33.09	39.005	37.465	70.145	36.27	46.74	61.265	43.68	43.435	60.425	49.805	45.105
17	15	35	33	Zmym6	160.765	123.955	99.72	28.04	81.585	7.395	11.43	6.565	13.53	8.065	38.275	13.575	10.56	64.59	9.26	17.62	58.915	39.57	6.49
18	21	35	26	Gpn2	39.475	49.92	61.34	81.26	71.465	72.495	84.385	83.3	80.315	81.315	92.955	80.225	90.795	85.415	87.36	97.235	96.11	102.71	78.44
12	13	38	37	Stx12	294.81	388.925	273.1	114.465	202.895	94.365	101.525	93.735	120.335	86.815	157.57	98.82	99.77	215.31	107.865	108.05	161.645	138.955	93.505
20	14	34	32	Btbd18	20.86	23.6	13.89	4.89	32.33	0.345	0.71	0.445	0.42	0.12	9.775	1.485	0.6	12.855	1.55	1.27	9.32	2.535	0.68
13	12	30	45	Osbpl9	80.245	71.66	74.12	80.455	93.865	70.175	76.45	69.315	68.72	68.705	78.035	68.24	78.05	76.87	81.18	71.475	67.68	84.75	73.575
20	25	29	26	D7Ertd143e	1.26	1.405	0	0	3.925	0.155	0.19	0.015	0	0	0	0	0	1.81	0.14	0.29	0	0	0
16	19	32	33	AU040320	68.395	114.875	66.585	26.98	43.29	9.66	17.95	12.3	17.29	12.755	24.16	16.48	19.3	56.595	20.395	15.235	32.185	25.63	9.73
11	17	31	41	Ppp1r8	165.75	187.835	142.93	95.655	218.04	67.74	63.61	61.42	78.745	67.525	105.36	83.52	66.49	157.03	84.415	81.965	106.065	85.73	74.215
17	17	38	28	Fam46b	7.095	4.275	8.43	63.895	14.02	70.74	91.695	80.5	52.24	87.4	21.75	47.605	98.55	22.3	88.71	53.37	35.72	29.08	56.765
16	28	39	17	Zfand2a	19.285	18.835	50.875	42.925	21.77	40.76	47.71	49.645	41.25	47.3	35.96	39.745	59.295	25.255	47.81	37.945	41.86	41.095	37.98
